Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/SS,Ronald Torreyes (13056702),Ronald Torreyes,13056702,2B/SS,2300,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
2B/SS,Gift Ngoepe (13056693),Gift Ngoepe,13056693,2B/SS,2300,SF@PHI 08/01/2019 01:05PM ET,PHI,0
2B/SS,Gregorio Petit (13056698),Gregorio Petit,13056698,2B/SS,2300,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Tristen Lutz (13056695),Tristen Lutz,13056695,OF,2300,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SS,Ronny Mauricio (13056711),Ronny Mauricio,13056711,SS,2200,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SS,Nick Gordon (13056710),Nick Gordon,13056710,SS,2200,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
OF,Tristan Pompey (13056712),Tristan Pompey,13056712,OF,2200,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
OF,Stone Garrett (13056718),Stone Garrett,13056718,OF,2100,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
SS,Wander Javier (13056719),Wander Javier,13056719,SS,2100,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
OF/SS,JT Riddle (13056720),JT Riddle,13056720,SS/OF,2100,MIN@MIA 08/01/2019 12:10PM ET,MIA,3.86
